Title,Severity,OWASP Category,CWE,Confidence,Affected URL,Status Code,Lifecycle Status,Validation Status,Evidence,Description,Recommendation
Possible Exposed Sensitive Path: /backup.sql,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/backup.sql,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/backup.sql,The path /backup.sql returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Exposed Sensitive Path: /database.sql,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/database.sql,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/database.sql,The path /database.sql returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Exposed Sensitive Path: /phpinfo.php,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/phpinfo.php,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/phpinfo.php,The path /phpinfo.php returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Exposed Sensitive Path: /admin,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/admin,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/admin,The path /admin returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Exposed Sensitive Path: /dashboard,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/dashboard,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/dashboard,The path /dashboard returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Exposed Sensitive Path: /settings,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/settings,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/settings,The path /settings returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Exposed Sensitive Path: /config.php,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/config.php,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/config.php,The path /config.php returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Exposed Sensitive Path: /debug,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/debug,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/debug,The path /debug returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Exposed Sensitive Path: /test,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/test,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/test,The path /test returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Exposed Sensitive Path: /ftp/,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/ftp/,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/ftp/,The path /ftp/ returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Protected Sensitive Path Found: /ftp/package.json.bak,Low,A05: Security Misconfiguration,CWE-538,High,https://juice-shop.herokuapp.com/ftp/package.json.bak,403,New,Observed,HTTP 403 https://juice-shop.herokuapp.com/ftp/package.json.bak,The path /ftp/package.json.bak exists but access is restricted.,Verify that this path should be publicly reachable.
Possible Exposed Sensitive Path: /encryptionkeys/,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/encryptionkeys/,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/encryptionkeys/,The path /encryptionkeys/ returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Exposed Sensitive Path: /logs/,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/logs/,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/logs/,The path /logs/ returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Exposed Sensitive Path: /swagger.json,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/swagger.json,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/swagger.json,The path /swagger.json returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Public Access to Protected Page: /admin,Medium,A01: Broken Access Control,CWE-284,Medium,https://juice-shop.herokuapp.com/admin,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/admin,The path /admin returned HTTP 200 OK without authentication.,Verify if this page should require authentication.
Possible Public Access to Protected Page: /dashboard,Medium,A01: Broken Access Control,CWE-284,Medium,https://juice-shop.herokuapp.com/dashboard,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/dashboard,The path /dashboard returned HTTP 200 OK without authentication.,Verify if this page should require authentication.
Possible Public Access to Protected Page: /user,Medium,A01: Broken Access Control,CWE-284,Medium,https://juice-shop.herokuapp.com/user,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/user,The path /user returned HTTP 200 OK without authentication.,Verify if this page should require authentication.
Possible Public Access to Protected Page: /account,Medium,A01: Broken Access Control,CWE-284,Medium,https://juice-shop.herokuapp.com/account,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/account,The path /account returned HTTP 200 OK without authentication.,Verify if this page should require authentication.
Possible Public Access to Protected Page: /settings,Medium,A01: Broken Access Control,CWE-284,Medium,https://juice-shop.herokuapp.com/settings,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/settings,The path /settings returned HTTP 200 OK without authentication.,Verify if this page should require authentication.
Protected API Endpoint Present: /api/Users,Info,A01: Broken Access Control,CWE-284,Low,https://juice-shop.herokuapp.com/api/Users,401,New,Informational,HTTP 401 https://juice-shop.herokuapp.com/api/Users,A sensitive-looking API endpoint exists and denied unauthenticated access.,Keep this endpoint covered by authorization regression tests.
Protected API Endpoint Present: /api/Users/,Info,A01: Broken Access Control,CWE-284,Low,https://juice-shop.herokuapp.com/api/Users/,401,New,Informational,HTTP 401 https://juice-shop.herokuapp.com/api/Users/,A sensitive-looking API endpoint exists and denied unauthenticated access.,Keep this endpoint covered by authorization regression tests.
Possible Public Sensitive API: /rest/user/whoami,High,A01: Broken Access Control,CWE-284,Medium,https://juice-shop.herokuapp.com/rest/user/whoami,200,New,Needs Manual Validation,"HTTP 200; body starts with: {""user"":{}}",A sensitive-looking API endpoint returned data without an authenticated session.,Enforce server-side authorization checks on every API route and verify object-level access control.
Protected API Endpoint Present: /rest/basket/1,Info,A01: Broken Access Control,CWE-284,Low,https://juice-shop.herokuapp.com/rest/basket/1,401,New,Informational,HTTP 401 https://juice-shop.herokuapp.com/rest/basket/1,A sensitive-looking API endpoint exists and denied unauthenticated access.,Keep this endpoint covered by authorization regression tests.
Possible Public Sensitive API: /rest/admin/application-configuration,High,A01: Broken Access Control,CWE-284,Medium,https://juice-shop.herokuapp.com/rest/admin/application-configuration,200,New,Needs Manual Validation,"HTTP 200; body starts with: {""config"":{""server"":{""port"":3000,""basePath"":"""",""baseUrl"":""http://localhost:3000""},""application"":{""domain"":""juice-sh.op"",""name"":""OWASP Juice Shop"",""logo"":""JuiceS",A sensitive-looking API endpoint returned data without an authenticated session.,Enforce server-side authorization checks on every API route and verify object-level access control.
Possible Public Sensitive API: /api/SecurityQuestions,Medium,A01: Broken Access Control,CWE-284,Medium,https://juice-shop.herokuapp.com/api/SecurityQuestions,200,New,Needs Manual Validation,"HTTP 200; body starts with: {""status"":""success"",""data"":[{""id"":1,""question"":""Your eldest siblings middle name?"",""createdAt"":""2026-05-18T11:43:05.103Z"",""updatedAt"":""2026-05-18T11:43:05.103Z""",A sensitive-looking API endpoint returned data without an authenticated session.,Enforce server-side authorization checks on every API route and verify object-level access control.
Possible Public Sensitive API: /api/Feedbacks,Medium,A01: Broken Access Control,CWE-284,Medium,https://juice-shop.herokuapp.com/api/Feedbacks,200,New,Needs Manual Validation,"HTTP 200; body starts with: {""status"":""success"",""data"":[{""UserId"":1,""id"":1,""comment"":""I love this shop! Best products in town! Highly recommended! (***in@juice-sh.op)"",""rating"":5,""createdA",A sensitive-looking API endpoint returned data without an authenticated session.,Enforce server-side authorization checks on every API route and verify object-level access control.
